[,   7,   2,   7,ec75,ad4a,  a0,  23,  12, 4db,a759,3864,25d7
[,   9,fff3,fff2,dc94,ee68,2964,  26,  13, 4dc,96f8,ea47,93bd
], 50090,   2,   8,fff5,a108,c4ca,d1a5,  23,  13, 4e2,a893,99fd,2fe6, 70b
[,   4,fff6,fffc, 117,3b12,110c,  26,   f, 4e1,d5d4,81fc,b084
[,   8,fffb,   0,333b,6939,a3cd,  27,  12, 4e0,3298, 623,77ea
[,   8,fffa,fff9,a260,3785,4ff1,  24,  12, 4de,dcf4,5a3e,b1a8
[,   8,fffc,fffc,4532,eeb4,82bb,  26,  14, 4dc,8bd9,1acb,c9bb
[,   f,ffff,ffff,d56b,e6f0,cf90,  24,  14, 4e1,50b1,d347,be20
[,   a,fff8,fff5,1b6a,adac,23e2,  25,  15, 4de,7773,69a7,3fc2
[,   6,fffc,   4,d946,d241,f7f9,  29,  14, 4db,bd52,cc8b,6d3c
[,   a,   4,fffb,a8fb,a0dd,f7f6,  26,  14, 4e0,2181,fecd,55c9
[,   2,fff6,   4,c856, dda,ab42,  27,  14, 4da,7389, d1b,ddaf
], 49891,   3,   0,fffc,858c, 804,cc85,  25,  12, 4d8,794e,8b36,775a, 70a
[,   5,ffff,fffc,cf4d,c612,4c1f,  24,  12, 4d9,3019,d826,d989
[,   7,   7,   6,5e4b,a22f,7577,  25,  11, 4e1,778b,6eeb,6719
[,  10,   0,   9,4f73,42b1,6842,  23,  12, 4d3,e709,f577,2265
[,   8,   4,   8,3792,21d8,f32f,  23,  12, 4d2,69f5,5dc2,8a38
[,   9,fffc,   4,8e7d,5790,12d2,  23,   e, 4dc,d3ee,4e56,3532
[,   e,   5,   2,b193,26a4,6177,  25,   d, 4e2,a02c,d1f9,cc4f
[,   2,fff9,fffd,f766,8922,d6a8,  25,  11, 4dd, 4fe,4e26,6112
[,   2,fff3,   2,36cb,42df,2fba,  21,  13, 4de,234d,cd72,ab9d
[,   c,fff9,fff1,bab6,a7ce,7661,  22,  12, 4e0,cf62,b3ab, 29e
], 50069,   f,   6,fff2,74e4, 61e,a641,  26,  11, 4d9,2fd9,9795,c9f1, 70b
[,  10,   0,   0,abce,b0f7,5ec8,  25,  13, 4d8,4c0d,7b8a,d543
[,fffb,   2,fff9,f3d8,432a, aa6,  28,  10, 4db,aae8,ef51,55cf
[,   3,   9,fff8,472a,5b15,6580,  22,  10, 4de,fcce,974f,d153
[,   a,fffb,   4,36d2,36ec,d00f,  21,  10, 4d7,492c,7156,a076
[,   b,   6,ffff, c3b,ef00, 319,  24,  13, 4e3,6b7c,2ce0,cf2b
[,   2,fff6,ffff,ad00,da3b, 8b2,  26,   e, 4e4,3f16,59e7,e7ec
[,   4,ffe6,fff7,555d,7b49,7396,  29,  11, 4de,8b88,f575,7496
[,   1,   6,   2,63ce,23e4,4b47,  26,  14, 4dd,87f1,34e2, 39e
[,  1b,fff6,   2,cf34,4b9b,b747,  27,  16, 4de,f393,90cb, 7d2
], 49953,   9,ffe9,ffff,9b4b,762a,ae84,  27,  13, 4dc,17cd,7250,231e, 70c
[,   f,fff9,   4,be15,f98a,7230,  25,  13, 4dc,c407,7d45,9450
[,   1,fffd,fff8,774a,7f16,c50a,  28,  15, 4e1,f31a,4bbc,af0c
[,   8,fff9,   2,1a8d,e5d0,409e,  29,  16, 4db,fad0, 3a6,6354
[,ffff,   0,   4,1a19,ec63,f756,  26,  13, 4cc,93a7,ea2b,1931
[,   3,   4,   8,6f16,573c,4f85,  26,  18, 4d1,df2a,2a43,94ee
